"","code","latitude","longitude","install_date","LCD","QR","type"
"1",301,37.575794,126.971451,2015-10-07,16,NA,"LCD"
"2",302,37.575947,126.97406,2015-10-07,12,NA,"LCD"
"3",303,37.57177,126.974663,2015-10-07,8,NA,"LCD"
"4",304,37.572113,126.977577,2021-01-26,NA,7,"QR"
"5",305,37.572582,126.978355,2015-10-07,16,NA,"LCD"
"6",306,37.570808,126.976433,2015-10-07,19,NA,"LCD"
"7",307,37.57,126.9711,2015-10-07,11,NA,"LCD"
"8",308,37.569969,126.973938,2021-01-26,NA,20,"QR"
"9",309,37.569889,126.976456,2015-10-07,13,NA,"LCD"
"10",314,37.579708,126.980858,2015-10-07,10,NA,"LCD"
"11",316,37.570396,126.981789,2015-10-07,12,NA,"LCD"
"12",326,37.576241,126.98616,2015-10-07,19,NA,"LCD"
"13",327,37.573357,126.987465,2015-10-07,10,NA,"LCD"
"14",328,37.570396,126.98819,2015-10-07,11,NA,"LCD"
"15",329,37.568344,126.987892,2015-10-07,8,NA,"LCD"
"16",334,37.570599,126.991791,2015-10-07,10,NA,"LCD"
"17",335,37.570198,126.991257,2015-10-07,10,NA,"LCD"
"18",337,37.578979,126.996475,2015-10-07,5,NA,"LCD"
"19",338,37.570957,126.997124,2015-10-07,18,NA,"LCD"
"20",339,37.571068,126.998192,2015-10-07,10,NA,"LCD"
"21",340,37.585629,127.000679,2015-10-07,8,NA,"LCD"
"22",341,37.58157,127.001785,2015-10-07,10,NA,"LCD"
"23",342,37.579784,127.002533,2015-10-07,15,NA,"LCD"
"24",343,37.575432,127.004982,2021-01-08,NA,6,"QR"
"25",344,37.574036,127.006721,2015-10-07,10,NA,"LCD"
"26",345,37.573307,127.00071,2015-10-07,15,NA,"LCD"
"27",348,37.572029,126.960785,2016-06-01,14,NA,"LCD"
"28",349,37.576332,126.96859,2016-06-01,7,NA,"LCD"
"29",351,37.585079,126.970619,2016-06-01,8,NA,"LCD"
"30",352,37.583416,126.985237,2016-06-01,15,NA,"LCD"
"31",353,37.579388,126.984947,2016-06-01,8,NA,"LCD"
"32",354,37.579155,126.98896,2016-06-01,10,NA,"LCD"
"33",355,37.576508,127.002457,2016-06-01,15,NA,"LCD"
"34",356,37.577145,127.00206,2016-06-01,15,NA,"LCD"
"35",358,37.5825,126.998535,2016-06-01,13,NA,"LCD"
"36",359,37.576061,126.997681,2016-06-01,8,NA,"LCD"
"37",361,37.573242,127.015907,2016-06-01,10,NA,"LCD"
"38",362,37.572224,127.022705,2016-06-01,10,NA,"LCD"
"39",363,37.57576,127.022835,2016-06-01,10,NA,"LCD"
"40",364,37.579334,127.015083,2016-06-01,8,NA,"LCD"
"41",367,37.573849,126.958694,2016-06-01,8,NA,"LCD"
"42",368,37.569248,126.980537,2016-06-01,12,NA,"LCD"
"43",369,37.575493,126.9785,2016-06-01,20,NA,"LCD"
"44",385,37.569836,126.982658,2016-07-06,10,NA,"LCD"
"45",388,37.585735,127.00161,2016-09-02,10,NA,"LCD"
"46",393,37.570141,127.009377,2018-01-26,10,NA,"LCD"
"47",394,37.56749,126.965919,2020-10-06,NA,15,"QR"
"48",395,37.568855,126.964561,2018-01-26,8,NA,"LCD"
"49",397,37.57048,126.996635,2018-04-30,13,NA,"LCD"
"50",446,37.600128,126.957832,2017-08-01,10,NA,"LCD"
"51",447,37.603992,126.961945,2020-10-29,NA,6,"QR"
"52",449,37.608719,126.972862,2017-08-01,10,NA,"LCD"
"53",450,37.583603,126.972549,2017-09-07,20,NA,"LCD"
"54",451,37.583515,126.979668,2017-09-07,13,NA,"LCD"
"55",452,37.571239,127.00441,2018-10-23,13,NA,"LCD"
"56",453,37.57114,127.000671,2018-08-31,10,NA,"LCD"
"57",454,37.570358,126.986382,2018-08-31,13,NA,"LCD"
"58",455,37.570961,127.006058,2018-08-30,8,NA,"LCD"
"59",456,37.574471,127.019829,2018-08-30,10,NA,"LCD"
"60",457,37.57132,127.00721,2018-08-30,10,NA,"LCD"
"61",458,37.569939,126.977539,2018-08-31,21,NA,"LCD"
"62",461,37.574364,126.972366,2018-10-29,10,NA,"LCD"
"63",462,37.603512,126.962067,2019-06-20,15,NA,"LCD"
"64",464,37.58419,126.981697,2019-08-16,10,NA,"LCD"
"65",465,37.587605,126.983597,2019-11-20,5,NA,"LCD"
"66",486,NA,NA,2020-03-11,5,NA,"LCD"
"67",3401,37.573761,127.013939,2020-06-11,NA,10,"QR"
"68",3402,37.576607,127.00557,2020-04-19,NA,10,"QR"
"69",3403,37.569508,126.967011,2020-02-26,NA,10,"QR"
"70",3404,37.571854,127.002358,2020-02-03,NA,15,"QR"
"71",3405,37.574551,126.970551,2020-02-11,NA,12,"QR"
"72",3406,37.574059,126.9758,2020-05-08,NA,20,"QR"
"73",3407,37.575806,126.983391,2020-02-10,NA,15,"QR"
"74",3408,37.570511,126.983368,2020-02-10,NA,13,"QR"
"75",3410,37.572037,126.991844,2020-02-11,NA,10,"QR"
"76",3411,37.570702,126.994812,2020-02-10,NA,10,"QR"
"77",3412,37.570313,126.994545,2020-02-11,NA,15,"QR"
"78",3413,37.5732,126.997963,2020-02-04,NA,15,"QR"
"79",3414,37.571175,127.002228,2020-02-11,NA,10,"QR"
"80",3415,NA,NA,2020-02-26,NA,15,"QR"
"81",3416,37.571533,127.015617,2020-02-04,NA,15,"QR"
"82",3417,37.577724,127.015251,2020-02-03,NA,12,"QR"
"83",3418,37.579987,127.01506,2020-02-03,NA,10,"QR"
"84",3419,37.581947,126.997368,2020-02-10,NA,15,"QR"
"85",3420,37.583275,126.998856,2020-02-04,NA,10,"QR"
"86",3421,37.583855,127.001854,2020-02-04,NA,10,"QR"
"87",3422,37.584797,126.997131,2020-02-04,NA,20,"QR"
"88",3423,37.575836,127.000694,2020-02-04,NA,20,"QR"
"89",3425,37.574848,126.968269,2020-05-04,NA,15,"QR"
"90",3426,37.575016,126.95755,2020-02-11,NA,10,"QR"
"91",3427,37.576603,126.956749,2020-02-13,NA,13,"QR"
"92",3428,37.595127,126.963493,2020-02-13,NA,10,"QR"
"93",3429,37.59726,126.963089,2020-02-13,NA,15,"QR"
"94",3430,37.60854,126.957138,2020-02-13,NA,10,"QR"
"95",3431,37.607601,126.957687,2020-02-13,NA,10,"QR"
"96",3432,37.569992,126.988342,2020-02-10,NA,15,"QR"
"97",4702,NA,NA,2020-07-21,NA,5,"QR"
"98",4710,NA,NA,2020-11-05,NA,8,"QR"
"99",4711,NA,NA,2020-09-10,NA,10,"QR"
"100",300,37.56805,126.969231,2015-10-07,7,NA,"LCD"
"101",310,37.568878,126.97747,2015-10-07,13,NA,"LCD"
"102",311,37.566612,126.97747,2015-10-07,35,NA,"LCD"
"103",312,37.564674,126.976738,2015-10-07,7,NA,"LCD"
"104",318,37.568527,126.982552,2015-10-07,10,NA,"LCD"
"105",320,37.566223,126.983589,2015-10-07,20,NA,"LCD"
"106",321,37.565464,126.984138,2015-10-07,15,NA,"LCD"
"107",322,37.564476,126.986969,2015-10-07,15,NA,"LCD"
"108",324,37.56134,126.9804,2015-10-07,10,NA,"LCD"
"109",331,37.566383,126.987206,2020-07-28,NA,10,"QR"
"110",332,37.56599,126.987793,2015-10-07,5,NA,"LCD"
"111",336,37.562618,126.992836,2015-10-07,10,NA,"LCD"
"112",346,37.569183,127.00988,2015-10-07,10,NA,"LCD"
"113",347,37.565331,127.007843,2015-10-07,18,NA,"LCD"
"114",370,37.563229,126.974838,2016-06-15,26,NA,"LCD"
"115",371,37.558872,127.005539,2016-06-15,10,NA,"LCD"
"116",372,37.554295,127.0112,2016-06-15,10,NA,"LCD"
"117",373,37.555859,127.013855,2016-06-15,8,NA,"LCD"
"118",374,37.560474,127.014076,2016-06-15,10,NA,"LCD"
"119",375,37.563717,127.018425,2016-06-15,8,NA,"LCD"
"120",378,37.569805,127.016953,2016-06-15,10,NA,"LCD"
"121",379,37.556,126.973358,2016-06-15,7,NA,"LCD"
"122",380,37.563866,127.002747,2016-06-15,8,NA,"LCD"
"123",381,37.558533,127.006989,2016-06-15,10,NA,"LCD"
"124",382,37.555199,127.010048,2016-06-15,7,NA,"LCD"
"125",383,37.565849,127.016403,2016-06-15,17,NA,"LCD"
"126",384,37.55978,126.968506,2016-06-15,10,NA,"LCD"
"127",387,37.566994,127.003464,2016-07-06,10,NA,"LCD"
"128",389,37.56673,126.996605,2017-08-03,10,NA,"LCD"
"129",390,37.56139,126.995354,2017-08-03,10,NA,"LCD"
"130",391,37.565437,126.973305,2017-09-04,8,NA,"LCD"
"131",398,37.566559,126.992439,2018-10-26,8,NA,"LCD"
"132",399,37.554108,126.965408,2018-10-12,15,NA,"LCD"
"133",428,37.5644,126.991432,2018-10-22,10,NA,"LCD"
"134",429,37.549889,127.007347,2018-10-22,8,NA,"LCD"
"135",430,37.562172,127.006264,2018-11-02,8,NA,"LCD"
"136",431,37.5709,127.019524,2020-09-24,NA,15,"QR"
"137",433,37.566345,126.982292,2018-12-14,10,NA,"LCD"
"138",434,37.561489,127.023933,2018-12-06,10,NA,"LCD"
"139",435,37.556862,126.975616,2018-12-06,10,NA,"LCD"
"140",826,37.555367,126.968643,2017-08-03,20,NA,"LCD"
"141",441,37.559891,126.97068,2020-01-31,NA,15,"QR"
