month,code,office,rentals,returns
'201701','108',' ??? ???',246,198
'201701','503',' ?????? C? ?',246,224
'201701','504',' ?????????',232,261
'201701','505',' ????? ?????? ?',302,313
'201701','506',' ?? ??? ??? ?',72,77
'201701','507',' ?????????? ?',169,199
'201701','508',' ???????? ?',156,126
'201701','509',' ??? ????? ?',311,359
'201701','510',' ??? ?? ????? ?',52,67
'201701','511',' ???? 4? ?? ?',238,219
'201701','512',' ??? 1? ?? ?',303,310
'201701','109',' ???? ?',178,200
'201701','400',' ????????? 1? ?',124,153
'201701','513',' ??? 5? ?? ??? ?',181,232
'201701','514',' ????? ????? ?',281,328
'201701','515',' ????? ?',75,76
'201701','516',' ????? ?',170,178
'201701','300',' ?????',417,366
'201701','301',' ???? 7??? ?',220,223
'201701','302',' ???? 4??? ?',353,367
'201701','303',' ???? 1??? ?',288,257
'201701','115',' ???? ?? ?',325,265
'201701','304',' ???? 2??? ?',187,204
'201701','305',' ???? ?',305,391
'201701','306',' ???? 7??? ?',197,202
'201701','307',' ??????? ?',297,268
'201701','308',' ??? S?? ?',157,165
'201701','309',' ???? 6??? ?',165,180
'201701','310',' ???? ?',206,175
'201701','311',' ???? ?',445,383
'201701','312',' ??? 1??? ?',413,404
'201701','313',' ??? ?? ??? ?',181,222
'201701','110',' ???',94,80
'201701','314',' ???????',420,385
'201701','315',' ???? ????? ?',225,260
'201701','316',' ??? 1??? ?',386,389
'201701','318',' ????? ??',183,156
'201701','320',' ?????? 4??? ?',286,271
'201701','321',' KEB ???? ?? ?',199,193
'201701','322',' ???? ?',138,91
'201701','116',' ???????? ?',338,416
'201701','324',' ?????? ?? ?',238,232
'201701','326',' ??? 5??? ?',392,286
'201701','327',' ???? ?',250,306
'201701','328',' ???? ?',507,498
'201701','329',' ??2? ??? ?',329,332
'201701','330',' ??? ????',215,164
'201701','331',' ???2? ??? ??',152,168
'201701','332',' ???2? ??? ??',181,140
'201701','111',' ??? 2??? ?',233,196
'201701','334',' ??3?? 2??? ?',446,437
'201701','335',' ??3?? 15??? ?',222,227
'201701','336',' ??? ?? ?',334,276
'201701','337',' ??? ??',111,97
'201701','338',' ????? ?',457,539
'201701','339',' ??4? ???',504,484
'201701','340',' ??? ???',370,394
'201701','341',' ??? 3??? ?',352,312
'201701','342',' ??? ??????',390,450
'201701','343',' ????(???) ?',215,198
'201701','112',' ????? ?',282,327
'201701','344',' ???? E??? ?',267,325
'201701','345',' ???????? ?',250,307
'201701','346',' ???? ?',329,389
'201701','347',' ?????????? 9??? ?',284,276
'201701','349',' ???????',293,183
'201701','350','KEB ????(??? ??) ?',233,197
'201701','351',' ???? ? ???',204,198
'201701','352',' ????? ???',139,53
'201701','353',' ???? ? ???',133,159
'201701','117',' ?????',137,146
'201701','354',' ???? ??? ?',317,216
'201701','355',' ???????? ?',223,239
'201701','356',' KT???? ?',217,271
'201701','358',' ???? ???',659,613
'201701','359',' ??????',188,216
'201701','361',' ???? 1??? ?',233,293
'201701','362',' ??8? ???',300,260
'201701','363',' ???? 11??? ?',112,116
'201701','364',' ??? 1??? ?',166,126
'201701','113',' ????? 2??? ?',950,1201
'201701','367',' ???? 3-1??? ',133,125
'201701','368',' SK ???? ?',195,217
'201701','369',' ??? ??????',221,185
'201701','348',' ???? ???',141,137
'201701','370',' ???(2??) 9??? ?',174,177
'201701','371',' ????? 6??? ?',145,138
'201701','372',' ??? 3??? ?',87,104
'201701','373',' ?? ?????',19,14
'201701','374',' ??? 2??? ?',160,133
'201701','118',' ???? 2??? ?',329,307
'201701','375',' ?? ?????',171,191
'201701','377',' ??? 4??? ?',69,79
'201701','378',' ??7? ???',202,233
'201701','379',' ???9???',73,61
'201701','380',' CJ???? ?',183,168
'201701','381',' ?????',44,12
'201701','382',' ??? 10??? ?',78,89
'201701','383',' ??? 12? ?? ?',304,299
'201701','384',' ?????? ',92,60
'201701','114',' ????? 8??? ?',467,440
'201701','142',' ??? 4??? ?',178,164
'201701','143',' ??? 2???',193,249
'201701','144',' ??? 8???',315,414
'201701','145',' ??? 5???',177,191
'201701','146',' ??? 1??? ?',255,299
'201701','147',' ??? 4??? ?',194,318
'201701','148',' ??? ???? ?',176,162
'201701','150',' ???? 2??? ?',194,252
'201701','151',' ??1?????',104,168
'201701','152',' ???????? ?',253,357
'201701','119',' ???? ??',267,319
'201701','153',' ??2? ???',293,364
'201701','154',' ????? ',235,295
'201701','155',' ???1 ??? ?',110,121
'201701','156',' ???????? ?',169,231
'201701','157',' ???? 4??? ?',284,285
'201701','158',' ??? ??? ??',127,109
'201701','159',' ??? 4? ??',182,87
'201701','160',' ???? ????',153,154
'201701','161',' ????1? ??',56,55
'201701','162',' ?????? ?',328,135
'201701','120',' ??? ???',107,127
'201701','163',' ??????? ?? ?',71,87
'201701','164',' ???1? ???? ',118,88
'201701','165',' ??????',141,127
'201701','166',' ??? ????',212,235
'201701','167',' ?????? ?',88,18
'201701','168',' ???? ???',58,47
'201701','169',' ??? ???',111,109
'201701','170',' ??? ??? ??? ?',180,173
'201701','171',' ???? ?',228,223
'201701','172',' ??????',214,157
'201701','121',' ????? ?',205,194
'201701','173',' ???? 8??? ?',178,164
'201701','175',' ??2??',254,231
'201701','179',' ??? 4??? ?',185,211
'201701','180',' ???? 7??? ?',189,180
'201701','518',' ??? ??? ?',54,79
'201701','519',' ?????',152,124
'201701','520',' ????? 4? ?? ?',189,131
'201701','521',' ???? 11? ?? ?',158,173
'201701','522',' ??? 1??? ?',47,48
'201701','523',' ????? ?',6,2
'201701','122',' ?????? ?',233,225
'201701','524',' ????????? ??? 102? ?',48,43
'201701','525',' ????????',201,238
'201701','526',' ?????? ?',172,178
'201701','529',' ???? 8? ?? ?',311,360
'201701','530',' ??????? ?',145,129
'201701','533',' ???? ??? ?? ?',13,63
'201701','534',' ?????',53,37
'201701','535',' ?????',123,88
'201701','536',' ??? 2??? ?',162,150
'201701','537',' ?????? ??',187,170
'201701','123',' ??? ??',84,78
'201701','538',' ???? 8??? ?',168,218
'201701','550',' ?????? ?',132,146
'201701','539',' ??????',63,93
'201701','540',' ??? 7??? ???? ?',342,392
'201701','542',' ??? 4??? ?',102,65
'201701','543',' ????(????? ?)',98,61
'201701','544',' ?????',54,65
'201701','546',' ?????? ???',117,111
'201701','548',' ?????',201,200
'201701','549',' ???? 3???',224,269
'201701','124',' ??? ?? ???',342,248
'201701','600',' ??2? ????',129,136
'201701','601',' ???????',91,86
'201701','602',' ??? ???',309,355
'201701','604',' ??????? ? ??',82,73
'201701','605',' ????8???',65,82
'201701','606',' ?????',15,34
'201701','607',' ???? 2???',65,59
'201701','608',' ???????',90,95
'201701','609',' ??2?',190,228
'201701','125',' ??? ?? ?',312,371
'201701','610',' ???? ???',139,158
'201701','612',' ?????? ? ???',135,139
'201701','613',' ???? 10??? ?',230,203
'201701','614',' ??? ???',224,191
'201701','615',' ??? ?????????? ?',145,120
'201701','616',' ????? ?',99,28
'201701','617',' ??????? ?',139,154
'201701','227',' ??2??? ???? ??',94,128
'201701','228',' ???? 3??? ?',187,189
'201701','229',' ??1 ???? ?',195,183
'201701','126',' ??? ?? ?',473,470
'201701','231',' ???????? ??',104,110
'201701','232',' ???? ????? ?',411,380
'201701','233',' YP ?? ?',23,41
'201701','234',' ????????? ?',80,65
'201701','235',' ??? ???? ?',88,109
'201701','236',' ???????? ?',71,72
'201701','237',' ??? ???? ???',126,133
'201701','238',' ?2?????? ?',254,253
'201701','239',' ????? ?',207,211
'201701','240',' ??? 4??? ?',193,199
'201701','127',' ????? ?',175,109
