"","date","rent_count","temperature","rainfall","snowfall","wind_speed","visibility","solar_radiation","dewpoint_temp","humidity","season","holiday","season_no"
"1",2017-12-01,9539,-1.1,0,0,1.4,20000,0,-17.4,37.5,"Winter","No Holiday",4
"2",2017-12-02,8523,2.7,0,0,1.6,14410,0,-5.55,55.5,"Winter","No Holiday",4
"3",2017-12-03,7222,4.35,4,0,1.6,3380,0,2.65,84.5,"Winter","No Holiday",4
"4",2017-12-04,8729,-0.25,0.1,0,3.6,19130,0,-12.95,43.5,"Winter","No Holiday",4
"5",2017-12-05,8307,-3.8,0,0,0,20000,0,-17.7,34.5,"Winter","No Holiday",4
"6",2017-12-06,6669,1.15,1.3,86,0.55,13965,0,-6.3,76.5,"Winter","No Holiday",4
"7",2017-12-07,8549,1.4,0,104,1.85,7305,0,-2.5,67,"Winter","No Holiday",4
"8",2017-12-08,8032,-3.5,0,0,1.55,19385,0,-15.5,41,"Winter","No Holiday",4
"9",2017-12-09,7233,-0.3,0,0,0.9,19490,0,-10.8,48,"Winter","No Holiday",4
"10",2017-12-10,3453,0.35,4.1,325,1.1,8880,0,-3,64,"Winter","No Holiday",4
"11",2017-12-11,5848,-5.75,0,0,3.7,20000,0,-18,38,"Winter","No Holiday",4
"12",2017-12-12,5496,-9.35,0,0,2.15,19890,0,-20,45,"Winter","No Holiday",4
"13",2017-12-13,6019,-9.05,0,0,1.65,19795,0,-20.35,39,"Winter","No Holiday",4
"14",2017-12-14,6398,-5.85,0,0,0.9,16495,0,-18.1,44,"Winter","No Holiday",4
"15",2017-12-15,7198,-2.7,0,0,0.8,9675,0,-12.9,50.5,"Winter","No Holiday",4
"16",2017-12-16,4632,-5.25,0,0,2.85,19730,0,-18.65,41,"Winter","No Holiday",4
"17",2017-12-17,3776,-7.05,0,0,1.95,20000,0,-19.9,40,"Winter","No Holiday",4
"18",2017-12-18,2620,-2.35,3.4,597,0.95,4645,0,-4.75,81,"Winter","No Holiday",4
"19",2017-12-19,4334,-3.65,0,556,2.1,18125,0,-12.9,55.5,"Winter","No Holiday",4
"20",2017-12-20,4568,-3.7,0.2,483,1.1,16920,0,-12.3,67,"Winter","No Holiday",4
"21",2017-12-21,5734,-1.2,0,389,1.25,7145,0,-4.95,76,"Winter","No Holiday",4
"22",2017-12-22,7184,3.8,0,77,0.8,7975,0,-3.75,68,"Winter","Holiday",4
"23",2017-12-23,6624,5.65,0,0,1.1,2635,0,2,76.5,"Winter","No Holiday",4
"24",2017-12-24,2014,4.35,20,0,1.2,2335,0,2.1,83,"Winter","Holiday",4
"25",2017-12-25,3966,-1.75,0,0,2.55,20000,0,-13.85,45,"Winter","Holiday",4
"26",2017-12-26,5605,-2.65,0,0,3.1,19975,0,-18.2,37.5,"Winter","No Holiday",4
"27",2017-12-27,5351,-6.6,0,0,2.1,20000,0,-21.55,33.5,"Winter","No Holiday",4
"28",2017-12-28,6594,-1.45,0,0,1.3,17745,0,-14.55,40,"Winter","No Holiday",4
"29",2017-12-29,7663,1.1,0,0,0.9,4945,0,-3.25,64.5,"Winter","No Holiday",4
"30",2017-12-30,4027,1.6,0.5,0,0.85,2485,0,-2.9,81,"Winter","No Holiday",4
"31",2017-12-31,3423,0.15,1.2,143,2.15,10945,0,-7.15,54.5,"Winter","Holiday",4
"32",2018-01-01,4290,-1.45,0,0,1.1,19170,0,-13.5,40,"Winter","Holiday",4
"33",2018-01-02,6446,-2,0,0,1.95,17665,0,-13.7,37.5,"Winter","No Holiday",4
"34",2018-01-03,6512,-4.75,0,0,2.2,19860,0,-15.95,42.5,"Winter","No Holiday",4
"35",2018-01-04,6453,-4.2,0,0,1.4,18550,0,-15.15,44.5,"Winter","No Holiday",4
"36",2018-01-05,6967,-3.55,0,0,1.5,14180,0,-12.55,50.5,"Winter","No Holiday",4
"37",2018-01-06,5180,-2.9,0,0,1.4,15405,0,-13.25,47,"Winter","No Holiday",4
"38",2018-01-07,4714,0.8,0,0,0.7,14205,0,-12.5,39.5,"Winter","No Holiday",4
"39",2018-01-08,5711,0.9,0.9,45,1.25,12675,0,-10.15,43,"Winter","No Holiday",4
"40",2018-01-09,5500,-4.05,0,108,3.2,15530,0,-11.6,58.5,"Winter","No Holiday",4
"41",2018-01-10,4161,-6.75,0.8,102,2.85,20000,0,-15.5,52,"Winter","No Holiday",4
"42",2018-01-11,4017,-11,0,0,2.65,18395,0,-19.55,51,"Winter","No Holiday",4
"43",2018-01-12,4111,-10.4,0,0,1.7,20000,0,-23.5,36.5,"Winter","No Holiday",4
"44",2018-01-13,3503,-4.6,0.4,22,0.8,9115,0,-9.25,67,"Winter","No Holiday",4
"45",2018-01-14,4225,0.35,0,0,1.05,5435,0,-6.25,62,"Winter","No Holiday",4
"46",2018-01-15,6334,4.4,0.2,0,1.45,5710,0,-2.2,62.5,"Winter","No Holiday",4
"47",2018-01-16,6705,3.9,0,0,0.75,4285,0,-3.85,59.5,"Winter","No Holiday",4
"48",2018-01-17,6292,3.4,0,0,0.95,3315,0,-1.8,65.5,"Winter","No Holiday",4
"49",2018-01-18,6383,2.35,0,0,2,3035,0,-2.05,72,"Winter","No Holiday",4
"50",2018-01-19,7472,0.15,0,0,1.55,15190,0,-11.15,44.5,"Winter","No Holiday",4
"51",2018-01-20,5576,1.8,0,0,1.45,8830,0,-5.65,60,"Winter","No Holiday",4
"52",2018-01-21,4973,-0.3,0,0,1.05,13365,0,-14.55,32,"Winter","No Holiday",4
"53",2018-01-22,4503,0,3.3,62,0.9,15895,0,-13.5,33,"Winter","No Holiday",4
"54",2018-01-23,3981,-11.4,0,233,3.75,20000,0,-22.6,42,"Winter","No Holiday",4
"55",2018-01-24,3154,-14.65,0,197,3.45,20000,0,-27.9,30,"Winter","No Holiday",4
"56",2018-01-25,3113,-14.75,0,142,2.75,20000,0,-26.7,33,"Winter","No Holiday",4
