"","datetime","date","hour","season","holiday","open","rent_count","temperature","humidity","wind_speed","visibility","dewpoint_temp","solar_radiation","rainfall","snowfall"
"1",2018-09-01 00:00:00,2018-09-01,0,"Autumn","No Holiday","Yes",1075,23.2,83,0.5,18870,20.1,0,0,0
"2",2018-09-01 01:00:00,2018-09-01,1,"Autumn","No Holiday","Yes",975,22.7,83,0.1,19400,19.6,0,0,0
"3",2018-09-01 02:00:00,2018-09-01,2,"Autumn","No Holiday","Yes",785,22,86,0.4,17030,19.5,0,0,0
"4",2018-09-01 03:00:00,2018-09-01,3,"Autumn","No Holiday","Yes",514,21.6,87,0.3,15790,19.3,0,0,0
"5",2018-09-01 04:00:00,2018-09-01,4,"Autumn","No Holiday","Yes",338,21.2,88,0.9,11830,19.1,0,0,0
"6",2018-09-01 05:00:00,2018-09-01,5,"Autumn","No Holiday","Yes",260,21.1,87,0.6,11160,18.8,0,0,0
"7",2018-09-01 06:00:00,2018-09-01,6,"Autumn","No Holiday","Yes",362,20.9,87,0.7,11980,18.6,0,0,0
"8",2018-09-01 07:00:00,2018-09-01,7,"Autumn","No Holiday","Yes",511,21.1,81,1,17380,17.7,0.14,0,0
"9",2018-09-01 08:00:00,2018-09-01,8,"Autumn","No Holiday","Yes",812,22.3,64,1.7,20000,15.1,0.75,0,0
"10",2018-09-01 09:00:00,2018-09-01,9,"Autumn","No Holiday","Yes",925,24.1,56,2.1,19560,14.7,1.46,0,0
"11",2018-09-01 10:00:00,2018-09-01,10,"Autumn","No Holiday","Yes",861,26,54,1.5,20000,15.9,2.13,0,0
"12",2018-09-01 11:00:00,2018-09-01,11,"Autumn","No Holiday","Yes",981,27.6,47,1.2,20000,15.2,2.63,0,0
"13",2018-09-01 12:00:00,2018-09-01,12,"Autumn","No Holiday","Yes",1086,28.9,46,1.6,19660,16.1,2.96,0,0
"14",2018-09-01 13:00:00,2018-09-01,13,"Autumn","No Holiday","Yes",1303,29.4,48,1.9,19420,17.2,2.88,0,0
"15",2018-09-01 14:00:00,2018-09-01,14,"Autumn","No Holiday","Yes",1371,29.7,42,1.4,20000,15.4,2.37,0,0
"16",2018-09-01 15:00:00,2018-09-01,15,"Autumn","No Holiday","Yes",1480,30,45,0.9,20000,16.7,2.1,0,0
"17",2018-09-01 16:00:00,2018-09-01,16,"Autumn","No Holiday","Yes",1678,30.5,41,1.4,19300,15.7,1.95,0,0
"18",2018-09-01 17:00:00,2018-09-01,17,"Autumn","No Holiday","Yes",1845,29.6,42,1.3,20000,15.3,0.98,0,0
"19",2018-09-01 18:00:00,2018-09-01,18,"Autumn","No Holiday","Yes",1892,28.8,46,1.3,20000,16,0.58,0,0
"20",2018-09-01 19:00:00,2018-09-01,19,"Autumn","No Holiday","Yes",1891,27.8,48,1.1,20000,15.7,0.08,0,0
"21",2018-09-01 20:00:00,2018-09-01,20,"Autumn","No Holiday","Yes",1440,26.9,49,2.1,20000,15.2,0,0,0
"22",2018-09-01 21:00:00,2018-09-01,21,"Autumn","No Holiday","Yes",1110,26,52,1.4,20000,15.3,0,0,0
"23",2018-09-01 22:00:00,2018-09-01,22,"Autumn","No Holiday","Yes",992,25.1,53,2,20000,14.8,0,0,0
