"","date","season","holiday","snowfall","rainfall","rent_count","temperature","humidity","wind_speed","visibility","dewpoint_temp","solar_radiation","rep_count","season_no"
"1",2017-12-01,"Winter","No Holiday",0,0,9539,-1.1,37.5,1.4,20000,-17.4,0,677,4
"2",2017-12-02,"Winter","No Holiday",0,0,8523,2.7,55.5,1.6,14410,-5.55,0,836,4
"3",2017-12-03,"Winter","No Holiday",0,4,7222,4.35,84.5,1.6,3380,2.65,0,999,4
"4",2017-12-04,"Winter","No Holiday",0,0.1,8729,-0.25,43.5,3.6,19130,-12.95,0,744,4
"5",2017-12-05,"Winter","No Holiday",0,0,8307,-3.8,34.5,0,20000,-17.7,0,638,4
"6",2017-12-06,"Winter","No Holiday",86,1.3,6669,1.15,76.5,0.55,13965,-6.3,0,871,4
"7",2017-12-07,"Winter","No Holiday",104,0,8549,1.4,67,1.85,7305,-2.5,0,984,4
"8",2017-12-08,"Winter","No Holiday",0,0,8032,-3.5,41,1.55,19385,-15.5,0,722,4
"9",2017-12-09,"Winter","No Holiday",0,0,7233,-0.3,48,0.9,19490,-10.8,0,711,4
"10",2017-12-10,"Winter","No Holiday",325,4.1,3453,0.35,64,1.1,8880,-3,0,1124,4
"11",2017-12-11,"Winter","No Holiday",0,0,5848,-5.75,38,3.7,20000,-18,0,707,4
"12",2017-12-12,"Winter","No Holiday",0,0,5496,-9.35,45,2.15,19890,-20,0,556,4
"13",2017-12-13,"Winter","No Holiday",0,0,6019,-9.05,39,1.65,19795,-20.35,0,486,4
"14",2017-12-14,"Winter","No Holiday",0,0,6398,-5.85,44,0.9,16495,-18.1,0,579,4
"15",2017-12-15,"Winter","No Holiday",0,0,7198,-2.7,50.5,0.8,9675,-12.9,0,696,4
"16",2017-12-16,"Winter","No Holiday",0,0,4632,-5.25,41,2.85,19730,-18.65,0,596,4
"17",2017-12-17,"Winter","No Holiday",0,0,3776,-7.05,40,1.95,20000,-19.9,0,555,4
"18",2017-12-18,"Winter","No Holiday",597,3.4,2620,-2.35,81,0.95,4645,-4.75,0,1174,4
"19",2017-12-19,"Winter","No Holiday",556,0,4334,-3.65,55.5,2.1,18125,-12.9,0,1274,4
"20",2017-12-20,"Winter","No Holiday",483,0.2,4568,-3.7,67,1.1,16920,-12.3,0,1265,4
"21",2017-12-21,"Winter","No Holiday",389,0,5734,-1.2,76,1.25,7145,-4.95,0,1350,4
"22",2017-12-22,"Winter","Holiday",77,0,7184,3.8,68,0.8,7975,-3.75,0,1032,4
"23",2017-12-23,"Winter","No Holiday",0,0,6624,5.65,76.5,1.1,2635,2,0,1019,4
"24",2017-12-24,"Winter","Holiday",0,20,2014,4.35,83,1.2,2335,2.1,0,1025,4
"25",2017-12-25,"Winter","Holiday",0,0,3966,-1.75,45,2.55,20000,-13.85,0,576,4
"26",2017-12-26,"Winter","No Holiday",0,0,5605,-2.65,37.5,3.1,19975,-18.2,0,428,4
"27",2017-12-27,"Winter","No Holiday",0,0,5351,-6.6,33.5,2.1,20000,-21.55,0,484,4
"28",2017-12-28,"Winter","No Holiday",0,0,6594,-1.45,40,1.3,17745,-14.55,0,518,4
"29",2017-12-29,"Winter","No Holiday",0,0,7663,1.1,64.5,0.9,4945,-3.25,0,712,4
"30",2017-12-30,"Winter","No Holiday",0,0.5,4027,1.6,81,0.85,2485,-2.9,0,890,4
"31",2017-12-31,"Winter","Holiday",143,1.2,3423,0.15,54.5,2.15,10945,-7.15,0,880,4
"32",2018-01-01,"Winter","Holiday",0,0,4290,-1.45,40,1.1,19170,-13.5,0,553,4
"33",2018-01-02,"Winter","No Holiday",0,0,6446,-2,37.5,1.95,17665,-13.7,0,458,4
"34",2018-01-03,"Winter","No Holiday",0,0,6512,-4.75,42.5,2.2,19860,-15.95,0,482,4
"35",2018-01-04,"Winter","No Holiday",0,0,6453,-4.2,44.5,1.4,18550,-15.15,0,617,4
"36",2018-01-05,"Winter","No Holiday",0,0,6967,-3.55,50.5,1.5,14180,-12.55,0,662,4
"37",2018-01-06,"Winter","No Holiday",0,0,5180,-2.9,47,1.4,15405,-13.25,0,608,4
"38",2018-01-07,"Winter","No Holiday",0,0,4714,0.8,39.5,0.7,14205,-12.5,0,624,4
"39",2018-01-08,"Winter","No Holiday",45,0.9,5711,0.9,43,1.25,12675,-10.15,0,633,4
"40",2018-01-09,"Winter","No Holiday",108,0,5500,-4.05,58.5,3.2,15530,-11.6,0,683,4
"41",2018-01-10,"Winter","No Holiday",102,0.8,4161,-6.75,52,2.85,20000,-15.5,0,697,4
"42",2018-01-11,"Winter","No Holiday",0,0,4017,-11,51,2.65,18395,-19.55,0,598,4
"43",2018-01-12,"Winter","No Holiday",0,0,4111,-10.4,36.5,1.7,20000,-23.5,0,458,4
"44",2018-01-13,"Winter","No Holiday",22,0.4,3503,-4.6,67,0.8,9115,-9.25,0,621,4
"45",2018-01-14,"Winter","No Holiday",0,0,4225,0.35,62,1.05,5435,-6.25,0,682,4
"46",2018-01-15,"Winter","No Holiday",0,0.2,6334,4.4,62.5,1.45,5710,-2.2,0,711,4
"47",2018-01-16,"Winter","No Holiday",0,0,6705,3.9,59.5,0.75,4285,-3.85,0,790,4
"48",2018-01-17,"Winter","No Holiday",0,0,6292,3.4,65.5,0.95,3315,-1.8,0,873,4
"49",2018-01-18,"Winter","No Holiday",0,0,6383,2.35,72,2,3035,-2.05,0,882,4
"50",2018-01-19,"Winter","No Holiday",0,0,7472,0.15,44.5,1.55,15190,-11.15,0,688,4
"51",2018-01-20,"Winter","No Holiday",0,0,5576,1.8,60,1.45,8830,-5.65,0,793,4
"52",2018-01-21,"Winter","No Holiday",0,0,4973,-0.3,32,1.05,13365,-14.55,0,629,4
"53",2018-01-22,"Winter","No Holiday",62,3.3,4503,0,33,0.9,15895,-13.5,0,626,4
"54",2018-01-23,"Winter","No Holiday",233,0,3981,-11.4,42,3.75,20000,-22.6,0,701,4
"55",2018-01-24,"Winter","No Holiday",197,0,3154,-14.65,30,3.45,20000,-27.9,0,738,4
"56",2018-01-25,"Winter","No Holiday",142,0,3113,-14.75,33,2.75,20000,-26.7,0,618,4
"57",2018-01-26,"Winter","No Holiday",103,0,2931,-14.85,34,2.5,18840,-27.65,0,554,4
"58",2018-01-27,"Winter","No Holiday",44,0,2693,-8.75,39,1.25,18485,-22.35,0,472,4
"59",2018-01-28,"Winter","No Holiday",0,0,2828,-7.4,35,2.45,19865,-19.65,0,399,4
"60",2018-01-29,"Winter","No Holiday",0,0,4088,-9.05,39,2.9,19650,-20.35,0,372,4
"61",2018-01-30,"Winter","No Holiday",194,2.9,3360,-3.85,53,1.15,18920,-17.3,0,594,4
"62",2018-01-31,"Winter","No Holiday",648,0,3830,-2.2,50.5,1.6,18795,-12.2,0,1069,4
"63",2018-02-01,"Winter","No Holiday",217,0,5377,-4.2,48.5,1.55,19525,-15.25,0,977,4
"64",2018-02-02,"Winter","No Holiday",0,0,5954,-2.5,55,1.5,16765,-12.8,0,739,4
"65",2018-02-03,"Winter","No Holiday",22,0.5,3290,-6.45,44,4,19765,-18.65,0,596,4
"66",2018-02-04,"Winter","No Holiday",0,0,2487,-10,44,3.25,19875,-20.5,0,530,4
"67",2018-02-05,"Winter","No Holiday",0,0,3932,-10.05,39,3.45,20000,-22.1,0,385,4
"68",2018-02-06,"Winter","No Holiday",0,0,3988,-10.75,36,3.25,19885,-23.1,0,364,4
"69",2018-02-07,"Winter","No Holiday",0,0,4697,-7.3,47,1.6,18645,-20.9,0,439,4
"70",2018-02-08,"Winter","No Holiday",0,0,5613,-4.1,43,1.15,16810,-15.2,0,481,4
"71",2018-02-09,"Winter","No Holiday",0,0,6268,0.7,40.5,0.9,12190,-14.5,0,613,4
"72",2018-02-10,"Winter","No Holiday",0,0,4425,1.6,57.5,2.85,5870,-4.8,0,755,4
"73",2018-02-11,"Winter","No Holiday",0,0,2850,-6.35,37,2.7,19855,-18,0,537,4
"74",2018-02-12,"Winter","No Holiday",0,0,4813,-5.5,35.5,2.75,19930,-17.45,0,438,4
"75",2018-02-13,"Winter","No Holiday",0,0,6267,0.35,57,3.1,19795,-11.15,0,413,4
"76",2018-02-14,"Winter","No Holiday",0,0,6771,2.45,64.5,2.55,14780,-4.3,0,603,4
"77",2018-02-15,"Winter","Holiday",0,0,3484,-1.1,30,2.45,20000,-17.25,0,570,4
"78",2018-02-16,"Winter","Holiday",0,0,2593,-0.95,38,1.85,19510,-16,0,507,4
"79",2018-02-17,"Winter","Holiday",0,0,3118,-2.75,29,2.5,20000,-20.8,0,395,4
"80",2018-02-18,"Winter","No Holiday",0,0,4562,-0.5,29,1.15,20000,-18.8,0,325,4
"81",2018-02-19,"Winter","No Holiday",0,0,7604,1.4,43.5,1.55,11240,-8.05,0,536,4
"82",2018-02-20,"Winter","No Holiday",0,0,7955,0.8,30.5,2.6,15250,-13.45,0,579,4
"83",2018-02-21,"Winter","No Holiday",0,0,7491,-1.7,31,2.2,19975,-17.7,0,621,4
"84",2018-02-22,"Winter","No Holiday",0,0,7712,2.8,57.5,2,14230,-6.9,0,710,4
"85",2018-02-23,"Winter","No Holiday",447,4.1,5797,4.55,80.5,2.05,2420,0.25,0,1334,4
"86",2018-02-24,"Winter","No Holiday",0,0,6356,2.45,44.5,2.6,6855,-8.25,0.005,1069,4
"87",2018-02-25,"Winter","No Holiday",0,0,6500,0.1,42.5,1.8,16965,-11.7,0.005,707,4
"88",2018-02-26,"Winter","No Holiday",0,0,9247,2.75,39.5,1.1,13085,-8.85,0.005,684,4
"89",2018-02-27,"Winter","No Holiday",0,0,8862,5.05,46.5,0.8,8420,-6.95,0,793,4
"90",2018-02-28,"Winter","No Holiday",0,23,3820,5.2,59,2.05,5260,-1.85,0,990,4
"91",2018-03-01,"Spring","Holiday",0,2.5,5132,1.3,52,3.7,12590,-9.05,0.005,695,1
"92",2018-03-02,"Spring","No Holiday",0,0,8433,0.2,34.5,1.6,16145,-15.25,0.01,451,1
"93",2018-03-03,"Spring","No Holiday",0,0,12191,8.75,34.5,1.6,18305,-11.55,0.005,535,1
"94",2018-03-04,"Spring","No Holiday",0,2.5,4688,9.7,89.5,1.15,3965,8.1,0,1002,1
"95",2018-03-05,"Spring","No Holiday",0,12.5,8597,5.75,64.5,1.95,20000,0.05,0.01,714,1
"96",2018-03-06,"Spring","No Holiday",0,0,12003,4.1,42.5,1.3,18780,-6.2,0.01,556,1
"97",2018-03-07,"Spring","No Holiday",0,0,11170,6.6,48,1.7,19625,-3.7,0,719,1
"98",2018-03-08,"Spring","No Holiday",0,4.5,7711,4,78,2.05,6295,1.25,0.005,1034,1
"99",2018-03-09,"Spring","No Holiday",0,0,11642,3.5,67,1.3,10535,-2.05,0.01,849,1
"100",2018-03-10,"Spring","No Holiday",0,0,11064,5,72,2,9295,-2,0.01,878,1
"101",2018-03-11,"Spring","No Holiday",0,0,11843,5.5,47,1.9,6550,-2.4,0.02,990,1
"102",2018-03-12,"Spring","No Holiday",0,0,13339,7.3,46.5,1.05,7910,-4.6,0.015,934,1
"103",2018-03-13,"Spring","No Holiday",0,0,15963,13,58.5,1.45,9455,3.05,0.02,967,1
"104",2018-03-14,"Spring","No Holiday",0,0,19180,16.15,64.5,2.15,18430,8.4,0.02,1031,1
"105",2018-03-15,"Spring","No Holiday",0,27,6227,13.6,97,2,4220,10.9,0,1425,1
"106",2018-03-16,"Spring","No Holiday",0,0,15277,6.7,46,1.95,20000,-3.8,0.03,991,1
"107",2018-03-17,"Spring","No Holiday",0,0,15389,6.7,50.5,1.35,17775,-5.35,0.03,812,1
"108",2018-03-18,"Spring","No Holiday",0,0,9609,7.75,54.5,1.15,8365,-1.7,0.005,1178,1
"109",2018-03-19,"Spring","No Holiday",0,1.5,8968,8.1,64,2.7,16005,3.4,0.005,929,1
"110",2018-03-20,"Spring","No Holiday",0,0,11515,4.8,42,3.4,20000,-6.9,0.02,663,1
"111",2018-03-21,"Spring","No Holiday",0,1,7384,1.65,47,1.85,20000,-6.95,0,704,1
"112",2018-03-22,"Spring","No Holiday",0,0,14007,4.2,64,2,10990,-2.25,0.045,779,1
"113",2018-03-23,"Spring","No Holiday",0,0,14969,5.35,61.5,1.7,7455,-1.5,0.035,926,1
"114",2018-03-24,"Spring","No Holiday",0,0,12243,6.6,54,2.3,4015,0.85,0.03,1208,1
"115",2018-03-25,"Spring","No Holiday",0,0,10963,8.6,73.5,1.6,2185,2.25,0.05,1216,1
"116",2018-03-26,"Spring","No Holiday",0,0,13084,10.35,61,1.9,3145,4.55,0.05,1081,1
"117",2018-03-27,"Spring","No Holiday",0,0,14710,13.15,64.5,1.4,4635,4.4,0.045,1047,1
"118",2018-03-28,"Spring","No Holiday",0,0,17295,13.9,68,1.95,6640,7.25,0.05,1149,1
"119",2018-03-29,"Spring","No Holiday",0,0,17450,13.95,70,1.8,5465,9.15,0.06,1277,1
"120",2018-03-30,"Spring","No Holiday",0,0,19301,13.7,61,1.55,8155,5,0.065,1323,1
"121",2018-03-31,"Spring","No Holiday",0,0,19247,13.05,52.5,1.65,11530,4.2,0.06,1301,1
"122",2018-04-01,"Spring","No Holiday",0,0,17388,16.5,69,1.8,8425,7.9,0.015,1439,1
"123",2018-04-02,"Spring","No Holiday",0,0,21585,17.45,66,1.7,11765,11.05,0.055,1341,1
"124",2018-04-03,"Spring","No Holiday",0,0,21015,17.3,71.5,2,12845,12.15,0.015,1412,1
"125",2018-04-04,"Spring","No Holiday",0,18.6,19995,14.2,61.5,1.95,20000,6.15,0.08,1392,1
"126",2018-04-05,"Spring","No Holiday",0,10,2596,7.6,94.5,1.95,9045,6.5,0,1564,1
"127",2018-04-06,"Spring","No Holiday",0,7,11520,6.65,72,3.2,7620,2.35,0.095,1156,1
"128",2018-04-07,"Spring","No Holiday",0,0.2,11159,3.65,42,3.95,19205,-6.95,0.135,623,1
"129",2018-04-08,"Spring","No Holiday",0,3,6666,2.9,51,1.75,19970,-6.95,0.035,783,1
"130",2018-04-09,"Spring","No Holiday",0,0,19082,8.55,49,0.95,11240,-1.25,0.1,733,1
"131",2018-04-10,"Spring","No Holiday",0,5,16696,15.5,45,2.85,16220,1.8,0.055,869,1
"132",2018-04-11,"Spring","No Holiday",0,0,0,12.95,45.5,3.25,14775,3,0.165,1238,1
"133",2018-04-12,"Spring","No Holiday",0,0,22729,13.45,28.5,2.35,19750,-2.9,0.19,650,1
"134",2018-04-13,"Spring","No Holiday",0,0,23240,15.95,22,1.35,20000,-7.95,0.085,691,1
