"","date","season","holiday","snowfall","rainfall","rent_count","temperature","humidity","wind_speed","visibility","dewpoint_temp","solar_radiation","rep_count"
"1",2018-06-01,"Summer","No Holiday",0,0,31928,23.3,44.5,1.65,17820,12,0.505,1914
"2",2018-06-02,"Summer","No Holiday",0,0,30693,22.7,43.5,1.75,17660,9.9,0.505,1977
"3",2018-06-03,"Summer","No Holiday",0,0,29761,23.6,36,1.6,18780,8.35,0.505,1923
"4",2018-06-04,"Summer","No Holiday",0,0,33257,22.95,46.5,1.6,17950,10.2,0.29,1899
"5",2018-06-05,"Summer","No Holiday",0,0,33424,23.4,51,1.5,13580,12.65,0.445,1975
"6",2018-06-06,"Summer","Holiday",0,0,30498,22.5,59.5,2.2,9360,15.25,0.485,2121
"7",2018-06-07,"Summer","No Holiday",0,0,32002,21.2,70,1.9,6185,16,0.27,2151
"8",2018-06-08,"Summer","No Holiday",0,0,35103,21.2,70,2,11250,15.25,0.38,2044
"9",2018-06-09,"Summer","No Holiday",0,0.5,25911,23.05,62,1.4,14245,14.55,0.12,2122
"10",2018-06-10,"Summer","No Holiday",0,0.5,29342,21.1,56,1.35,20000,13,0.08,1902
"11",2018-06-11,"Summer","No Holiday",0,4,24832,19.8,60,1.3,20000,12.05,0.095,1717
"12",2018-06-12,"Summer","No Holiday",0,1,34544,20.85,64.5,1.15,19965,14.1,0.54,1726
"13",2018-06-13,"Summer","No Holiday",0,0,36149,21.95,64.5,1.4,14410,14.3,0.435,1917
"14",2018-06-14,"Summer","No Holiday",0,29,23818,21.15,72,1,9210,16.2,0.035,2326
"15",2018-06-15,"Summer","No Holiday",0,16.5,33492,21.2,55.5,1.4,20000,13.3,0.575,1931
"16",2018-06-16,"Summer","No Holiday",0,0,34360,22.45,57,1.45,19485,10.9,0.52,1808
"17",2018-06-17,"Summer","No Holiday",0,0,32487,22.6,66.5,1.15,7875,16.2,0.405,2236
"18",2018-06-18,"Summer","No Holiday",0,0,27541,24.25,54.5,1.35,9415,15.2,0.465,2191
"19",2018-06-19,"Summer","No Holiday",0,0,35349,22,62.5,1.6,11965,14.45,0.3,1983
