"","X1","Unnamed: 0","datetime","date","hour","season","holiday","open","rent_count","temperature","humidity","wind_speed","visibility","dewpoint_temp","solar_radiation","rainfall","snowfall","month","week","day_of_month","day_of_year","day_of_week","dayName_of_week","month_name","season_no"
"1",0,1,2017-12-01 00:00:00,2017-12-01,0,"Winter","No Holiday","Yes",254,-5.2,37,2.2,20000,-17.6,0,0,0,12,48,1,335,4,"Friday","Dec",4
"2",1,2,2017-12-01 01:00:00,2017-12-01,1,"Winter","No Holiday","Yes",204,-5.5,38,0.8,20000,-17.6,0,0,0,12,48,1,335,4,"Friday","Dec",4
"3",2,3,2017-12-01 02:00:00,2017-12-01,2,"Winter","No Holiday","Yes",173,-6,39,1,20000,-17.7,0,0,0,12,48,1,335,4,"Friday","Dec",4
"4",3,4,2017-12-01 03:00:00,2017-12-01,3,"Winter","No Holiday","Yes",107,-6.2,40,0.9,20000,-17.6,0,0,0,12,48,1,335,4,"Friday","Dec",4
"5",4,5,2017-12-01 04:00:00,2017-12-01,4,"Winter","No Holiday","Yes",78,-6,36,2.3,20000,-18.6,0,0,0,12,48,1,335,4,"Friday","Dec",4
"6",5,6,2017-12-01 05:00:00,2017-12-01,5,"Winter","No Holiday","Yes",100,-6.4,37,1.5,20000,-18.7,0,0,0,12,48,1,335,4,"Friday","Dec",4
"7",6,7,2017-12-01 06:00:00,2017-12-01,6,"Winter","No Holiday","Yes",181,-6.6,35,1.3,20000,-19.5,0,0,0,12,48,1,335,4,"Friday","Dec",4
"8",7,8,2017-12-01 07:00:00,2017-12-01,7,"Winter","No Holiday","Yes",460,-7.4,38,0.9,20000,-19.3,0,0,0,12,48,1,335,4,"Friday","Dec",4
"9",8,9,2017-12-01 08:00:00,2017-12-01,8,"Winter","No Holiday","Yes",930,-7.6,37,1.1,20000,-19.8,0.01,0,0,12,48,1,335,4,"Friday","Dec",4
"10",9,10,2017-12-01 09:00:00,2017-12-01,9,"Winter","No Holiday","Yes",490,-6.5,27,0.5,19280,-22.4,0.23,0,0,12,48,1,335,4,"Friday","Dec",4
"11",10,11,2017-12-01 10:00:00,2017-12-01,10,"Winter","No Holiday","Yes",339,-3.5,24,1.2,19960,-21.2,0.65,0,0,12,48,1,335,4,"Friday","Dec",4
"12",11,12,2017-12-01 11:00:00,2017-12-01,11,"Winter","No Holiday","Yes",360,-0.5,21,1.3,19360,-20.2,0.94,0,0,12,48,1,335,4,"Friday","Dec",4
"13",12,13,2017-12-01 12:00:00,2017-12-01,12,"Winter","No Holiday","Yes",449,1.7,23,1.4,20000,-17.2,1.11,0,0,12,48,1,335,4,"Friday","Dec",4
"14",13,14,2017-12-01 13:00:00,2017-12-01,13,"Winter","No Holiday","Yes",451,2.4,25,1.6,20000,-15.6,1.16,0,0,12,48,1,335,4,"Friday","Dec",4
"15",14,15,2017-12-01 14:00:00,2017-12-01,14,"Winter","No Holiday","Yes",447,3,26,2,20000,-14.6,1.01,0,0,12,48,1,335,4,"Friday","Dec",4
"16",15,16,2017-12-01 15:00:00,2017-12-01,15,"Winter","No Holiday","Yes",463,2.1,36,3.2,20000,-11.4,0.54,0,0,12,48,1,335,4,"Friday","Dec",4
"17",16,17,2017-12-01 16:00:00,2017-12-01,16,"Winter","No Holiday","Yes",484,1.2,54,4.2,7930,-7,0.24,0,0,12,48,1,335,4,"Friday","Dec",4
"18",17,18,2017-12-01 17:00:00,2017-12-01,17,"Winter","No Holiday","Yes",555,0.8,58,1.6,20000,-6.5,0.08,0,0,12,48,1,335,4,"Friday","Dec",4
"19",18,19,2017-12-01 18:00:00,2017-12-01,18,"Winter","No Holiday","Yes",862,0.6,66,1.4,20000,-5,0,0,0,12,48,1,335,4,"Friday","Dec",4
"20",19,20,2017-12-01 19:00:00,2017-12-01,19,"Winter","No Holiday","Yes",600,0,77,1.7,20000,-3.5,0,0,0,12,48,1,335,4,"Friday","Dec",4
"21",20,21,2017-12-01 20:00:00,2017-12-01,20,"Winter","No Holiday","Yes",426,-0.3,79,1.5,19130,-3.5,0,0,0,12,48,1,335,4,"Friday","Dec",4
"22",21,22,2017-12-01 21:00:00,2017-12-01,21,"Winter","No Holiday","Yes",405,-0.8,81,0.8,16870,-3.6,0,0,0,12,48,1,335,4,"Friday","Dec",4
"23",22,23,2017-12-01 22:00:00,2017-12-01,22,"Winter","No Holiday","Yes",398,-0.9,83,1.5,13800,-3.4,0,0,0,12,48,1,335,4,"Friday","Dec",4
"24",23,24,2017-12-01 23:00:00,2017-12-01,23,"Winter","No Holiday","Yes",323,-1.3,84,1,12650,-3.6,0,0,0,12,48,1,335,4,"Friday","Dec",4
"25",24,25,2017-12-02 00:00:00,2017-12-02,0,"Winter","No Holiday","Yes",328,-1.8,87,1.1,9940,-3.6,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"26",25,26,2017-12-02 01:00:00,2017-12-02,1,"Winter","No Holiday","Yes",308,-2.2,86,0.6,9900,-4.2,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"27",26,27,2017-12-02 02:00:00,2017-12-02,2,"Winter","No Holiday","Yes",262,-2.9,86,1.5,12560,-4.9,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"28",27,28,2017-12-02 03:00:00,2017-12-02,3,"Winter","No Holiday","Yes",167,-3.5,81,2.2,12210,-6.2,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"29",28,29,2017-12-02 04:00:00,2017-12-02,4,"Winter","No Holiday","Yes",89,-3.8,79,2,11670,-6.9,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"30",29,30,2017-12-02 05:00:00,2017-12-02,5,"Winter","No Holiday","Yes",79,-4,79,1.5,12020,-7.1,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"31",30,31,2017-12-02 06:00:00,2017-12-02,6,"Winter","No Holiday","Yes",70,-4.3,82,2.1,11780,-6.9,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"32",31,32,2017-12-02 07:00:00,2017-12-02,7,"Winter","No Holiday","Yes",146,-4.4,81,2.5,12760,-7.1,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"33",32,33,2017-12-02 08:00:00,2017-12-02,8,"Winter","No Holiday","Yes",219,-4.2,79,2.1,14360,-7.3,0.01,0,0,12,48,2,336,5,"Saturday","Dec",4
"34",33,34,2017-12-02 09:00:00,2017-12-02,9,"Winter","No Holiday","Yes",328,-2.9,68,1.6,14870,-7.9,0.3,0,0,12,48,2,336,5,"Saturday","Dec",4
"35",34,35,2017-12-02 10:00:00,2017-12-02,10,"Winter","No Holiday","Yes",334,-0.4,57,1.6,13090,-7.8,0.8,0,0,12,48,2,336,5,"Saturday","Dec",4
"36",35,36,2017-12-02 11:00:00,2017-12-02,11,"Winter","No Holiday","Yes",388,1.9,49,1.8,14060,-7.7,1,0,0,12,48,2,336,5,"Saturday","Dec",4
"37",36,37,2017-12-02 12:00:00,2017-12-02,12,"Winter","No Holiday","Yes",479,4.3,41,1.3,16660,-7.8,1.09,0,0,12,48,2,336,5,"Saturday","Dec",4
"38",37,38,2017-12-02 13:00:00,2017-12-02,13,"Winter","No Holiday","Yes",606,6,36,1.8,17800,-7.9,1.12,0,0,12,48,2,336,5,"Saturday","Dec",4
"39",38,39,2017-12-02 14:00:00,2017-12-02,14,"Winter","No Holiday","Yes",611,7.3,35,1.3,19550,-7.1,0.99,0,0,12,48,2,336,5,"Saturday","Dec",4
"40",39,40,2017-12-02 15:00:00,2017-12-02,15,"Winter","No Holiday","Yes",589,7.6,41,2.3,19530,-4.8,0.74,0,0,12,48,2,336,5,"Saturday","Dec",4
"41",40,41,2017-12-02 16:00:00,2017-12-02,16,"Winter","No Holiday","Yes",618,6.4,48,2.6,19450,-3.8,0.22,0,0,12,48,2,336,5,"Saturday","Dec",4
"42",41,42,2017-12-02 17:00:00,2017-12-02,17,"Winter","No Holiday","Yes",572,6,51,2.5,18910,-3.3,0.06,0,0,12,48,2,336,5,"Saturday","Dec",4
"43",42,43,2017-12-02 18:00:00,2017-12-02,18,"Winter","No Holiday","Yes",489,5.5,53,1.5,16970,-3.3,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"44",43,44,2017-12-02 19:00:00,2017-12-02,19,"Winter","No Holiday","Yes",385,5,52,2.3,16660,-4,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"45",44,45,2017-12-02 20:00:00,2017-12-02,20,"Winter","No Holiday","Yes",359,4.6,51,1.2,15850,-4.6,0,0,0,12,48,2,336,5,"Saturday","Dec",4
