"","hour","rent_count","temperature","humidity","wind_speed","visibility","solar_radiation","rainfall","snowfall"
"1",0,254,-5.2,37,2.2,20000,0,0,0
"2",1,204,-5.5,38,0.8,20000,0,0,0
"3",2,173,-6,39,1,20000,0,0,0
"4",3,107,-6.2,40,0.9,20000,0,0,0
"5",4,78,-6,36,2.3,20000,0,0,0
"6",5,100,-6.4,37,1.5,20000,0,0,0
"7",6,181,-6.6,35,1.3,20000,0,0,0
"8",7,460,-7.4,38,0.9,20000,0,0,0
"9",8,930,-7.6,37,1.1,20000,0.01,0,0
"10",9,490,-6.5,27,0.5,19280,0.23,0,0
"11",10,339,-3.5,24,1.2,19960,0.65,0,0
"12",11,360,-0.5,21,1.3,19360,0.94,0,0
"13",12,449,1.7,23,1.4,20000,1.11,0,0
"14",13,451,2.4,25,1.6,20000,1.16,0,0
"15",14,447,3,26,2,20000,1.01,0,0
"16",15,463,2.1,36,3.2,20000,0.54,0,0
"17",16,484,1.2,54,4.2,7930,0.24,0,0
"18",17,555,0.8,58,1.6,20000,0.08,0,0
"19",18,862,0.6,66,1.4,20000,0,0,0
"20",19,600,0,77,1.7,20000,0,0,0
"21",20,426,-0.3,79,1.5,19130,0,0,0
"22",21,405,-0.8,81,0.8,16870,0,0,0
"23",22,398,-0.9,83,1.5,13800,0,0,0
"24",23,323,-1.3,84,1,12650,0,0,0
"25",0,328,-1.8,87,1.1,9940,0,0,0
"26",1,308,-2.2,86,0.6,9900,0,0,0
"27",2,262,-2.9,86,1.5,12560,0,0,0
"28",3,167,-3.5,81,2.2,12210,0,0,0
"29",4,89,-3.8,79,2,11670,0,0,0
"30",5,79,-4,79,1.5,12020,0,0,0
"31",6,70,-4.3,82,2.1,11780,0,0,0
"32",7,146,-4.4,81,2.5,12760,0,0,0
"33",8,219,-4.2,79,2.1,14360,0.01,0,0
"34",9,328,-2.9,68,1.6,14870,0.3,0,0
"35",10,334,-0.4,57,1.6,13090,0.8,0,0
"36",11,388,1.9,49,1.8,14060,1,0,0
"37",12,479,4.3,41,1.3,16660,1.09,0,0
"38",13,606,6,36,1.8,17800,1.12,0,0
"39",14,611,7.3,35,1.3,19550,0.99,0,0
"40",15,589,7.6,41,2.3,19530,0.74,0,0
"41",16,618,6.4,48,2.6,19450,0.22,0,0
"42",17,572,6,51,2.5,18910,0.06,0,0
"43",18,489,5.5,53,1.5,16970,0,0,0
"44",19,385,5,52,2.3,16660,0,0,0
"45",20,359,4.6,51,1.2,15850,0,0,0
"46",21,377,4.1,55,1.2,14480,0,0,0
"47",22,354,3.5,54,1.5,14460,0,0,0
"48",23,366,4,56,1,13520,0,0,0
"49",0,342,4,58,1.4,12960,0,0,0
"50",1,227,3.9,69,1.7,4850,0,0,0
"51",2,228,3.3,79,1.4,8300,0,0,0
"52",3,117,3.4,71,1.6,10110,0,0.5,0
"53",4,76,3.5,73,1,10600,0,0,0
"54",5,32,3.9,75,1.9,9140,0,0,0
"55",6,13,3.4,86,2.5,2780,0,1,0
"56",7,22,3.1,91,1.2,1290,0,0,0
"57",8,85,3.2,92,1.8,2440,0,0,0
"58",9,152,3.5,91,1.8,2310,0.02,2.5,0
"59",10,200,4.4,89,2.2,2570,0.24,0,0
"60",11,273,5.1,87,1.4,3210,0.25,0,0
"61",12,333,5.8,85,1.7,3490,0.43,0,0
"62",13,495,6.8,81,1.9,3900,0.6,0,0
"63",14,563,7.6,76,1.2,4220,0.69,0,0
"64",15,621,8,73,1.6,4330,0.53,0,0
"65",16,598,7.6,77,1.6,3990,0.2,0,0
"66",17,545,6.7,82,1.5,3580,0.05,0,0
"67",18,443,6,84,1.9,3270,0,0,0
"68",19,422,5.7,85,1.7,3090,0,0,0
"69",20,397,5.2,87,1.4,2530,0,0,0
"70",21,385,4.7,87,1.2,2470,0,0,0
"71",22,350,4.3,89,1.8,2010,0,0,0
"72",23,303,3.9,90,1.3,1940,0,0,0
"73",0,285,4.2,88,0.6,2160,0,0,0
"74",1,186,4.3,87,0.5,2210,0,0,0
"75",2,112,4.4,87,1.8,2070,0,0,0
"76",3,65,3.6,85,2.3,2060,0,0,0
"77",4,41,2.8,89,1.5,1300,0,0,0
"78",5,82,2,83,2.7,2530,0,0,0
"79",6,200,1.2,76,3.7,3710,0,0.1,0
"80",7,498,0.2,68,3.4,7020,0,0,0
"81",8,937,-0.8,69,3.5,9540,0.01,0,0
"82",9,509,-1.5,47,4.2,18880,0.22,0,0
"83",10,311,-1.1,40,4.5,20000,0.64,0,0
"84",11,379,-0.5,41,4.1,17990,0.94,0,0
"85",12,393,-0.3,38,4.8,18230,1.11,0,0
"86",13,391,0,30,5.4,19380,1.17,0,0
"87",14,338,0.1,27,4.5,20000,1.09,0,0
"88",15,341,-0.1,25,5.8,20000,0.88,0,0
