code,office,borough,address,latitude,longitude,install_date,LCD,QR,type
102,??? 1??? ?,???,????? ??? ???? 72,37.5556488,126.9106293,06/09/2015,20,,LCD
103,??? 2??? ?,???,????? ??? ???? 79,37.55495071,126.9108353,06/09/2015,14,,LCD
104,??? 1??? ?,???,????? ??? ??? 59,37.55062866,126.9149857,06/09/2015,13,,LCD
105,??? 5??? ?,???,????? ??? ??? 48,37.55000687,126.9148254,06/09/2015,5,,LCD
106,??? 7??? ?,???,????? ??? ??? 4,37.54864502,126.9128265,06/09/2015,10,,LCD
107,???? ???????? ?,???,????? ??? ????? 35,37.55751038,126.9185028,06/09/2015,5,,LCD
108,??? ???,???,????? ??? ??? 93,37.55274582,126.9186173,06/09/2015,10,,LCD
109,???? ?,???,????? ??? ????? 26,37.54769135,126.9199829,07/09/2015,10,,LCD
111,??? 2??? ?,???,????? ??? ???? 40,37.54787064,126.9235306,07/09/2015,10,,LCD
112,????? ?,???,????? ??? ???? 56,37.54920197,126.9232025,07/09/2015,10,,LCD
113,????? 2??? ?,???,????? ??? ??? 165,37.55749893,126.9238052,07/09/2015,,25,QR
114,????? 8??? ?,???,????? ??? ???18? 3,37.55706024,126.9244232,07/09/2015,15,,LCD
115,??? ?? ?,????,????? ???? ??? 7,37.55893326,126.9271164,05/11/2020,,15,QR
116,???????? ?,????,????? ???? ??? 290,37.56454086,126.9270706,07/09/2015,5,,LCD
117,?????,????,??? ???1? 30 ,37.59115982,126.94133,07/09/2015,25,,LCD
118,???? 2??? ?,???,????? ??? ??? ??165,37.54773331,126.9317627,07/09/2015,10,,LCD
119,???? ??,???,????? ??? ??? 30,37.54528427,126.9310532,07/09/2015,10,,LCD
120,??? ???,???,????? ??? ??? 211,37.54524231,126.9341126,07/09/2015,5,,LCD
121,????? ?,???,????? ??? ??? 76,37.54976654,126.9331741,07/09/2015,15,,LCD
122,?????? ?,???,????? ??? ??? 223-1,37.54745865,126.9383774,07/09/2015,10,,LCD
123,??? ??,????,????? ???? ??? 277-23,37.59432983,126.9473877,07/09/2015,20,,LCD
124,??? ?? ???,???,????? ??? ???16? 72,37.55113983,126.9369888,07/09/2015,20,,LCD
125,??? ?? ?,???,????? ??? ??? 35,37.54948425,126.9389496,07/09/2015,15,,LCD
126,??? ?? ?,???,????? ??? ??? 122,37.55041122,126.9438477,07/09/2015,20,,LCD
127,????? ?,???,????? ??? ??? 10,37.5535202,126.9369507,07/09/2015,15,,LCD
128,???(2??) 1??? ?,????,????? ???? ??? 3-5,37.55549622,126.9363403,07/09/2015,20,,LCD
129,???(2??) 6??? ?,???,????? ??? ??? 106,37.55505371,126.9375687,07/09/2015,15,,LCD
130,???(2??) 7??? ?,???,????? ??? ??? 94,37.55485916,126.9361572,07/09/2015,10,,LCD
131,??2?,????,????? ???? ??? 264,37.5841713,126.9111023,07/09/2015,23,,LCD
133,?????,????,????? ???? ???? 150,37.58203125,126.9089966,07/09/2015,15,,LCD
134,??? ???,????,????? ???? ??? 33,37.55789185,126.9380798,29/10/2020,,8,QR
135,??? ???? ?,????,???? ??? 31-69,37.5591011,126.9391785,07/09/2015,10,,LCD
137,NH?? ???? ?,????,????? ???? ???2?? 58,37.55681229,126.9431839,07/09/2015,10,,LCD
138,??? ?1????? ?,????,????? ???? ??? 264,37.5591774,126.9345245,07/09/2015,10,,LCD
139,??? ?? ???,????,????? ???? ??? 42,37.55979538,126.9344788,07/09/2015,13,,LCD
140,???? ??,????,????? ???? ??? 50-1,37.560009,126.9407349,07/09/2015,20,,LCD
141,?? ???? ?,????,????? ???? ??? 50,37.56238174,126.9326477,07/09/2015,20,,LCD
142,??? 4??? ?,???,????? ??? ??? 329-15,37.55720139,126.9556656,29/06/2016,11,,LCD
143,??? 2???,???,????? ??? ??? 257-88,37.54457855,126.9502182,29/06/2016,9,,LCD
144,??? 8???,???,????? ??? ??? 438-5,37.5435791,126.9513245,29/06/2016,10,,LCD
145,??? 5???,???,????? ??? ??? 237-9,37.54425049,126.9516373,29/06/2016,9,,LCD
146,??? 2??? ?,???,????? ??? ??? 555-2,37.53993607,126.9458237,29/06/2016,12,,LCD
147,??? 4??? ?,???,????? ??? ??? 292-29,37.53927231,126.9459152,29/06/2016,7,,LCD
148,??? ???? ?,???,????? ??? ??? 234-1,37.54234695,126.9430237,29/06/2016,11,,LCD
150,???? 2??? ?,???,????? ??? ???? 112-13,37.55295563,126.9343414,29/06/2016,15,,LCD
152,???????? ?,???,????? ??? ??? 452-4,37.55632401,126.8970947,24/09/2020,,30,QR
153,??2? ???,???,????? ??? ??? 54-17,37.56469727,126.9126129,29/06/2016,10,,LCD
154,?????,???,????? ??? ??? 477-23,37.56090927,126.9054947,29/06/2016,13,,LCD
155,???1 ??? ?,???,????? ??? ???123-29,37.56855011,126.9145126,29/06/2016,15,,LCD
156,???????? ?,???,????? ??? ??? 105-11,37.54990387,126.9551468,29/06/2016,10,,LCD
157,???? 4??? ?,???,????? ??? ??? 607-1,37.5530014,126.9566879,29/06/2016,12,,LCD
158,??? ??? ??,????,????? ???? ??? 259-1,37.57125854,126.9604797,29/06/2016,15,,LCD
159,??? 4? ??,????,????? ???? ??? 60-11,37.55695343,126.9463425,29/06/2016,7,,LCD
160,???? ????,????,????? ???? ???? 251-78,37.55754852,126.9593811,29/06/2016,20,,LCD
161,????1? ??,????,????? ???? ??? 380-4,37.58224487,126.9506455,29/06/2016,8,,LCD
162,?????? ?,????,????? ???? ??? 143-1,37.56526947,126.9462433,29/06/2016,15,,LCD
163,??????? ?? ?,????,????? ???? ??? ?25-3,37.58369827,126.9249649,29/06/2016,7,,LCD
164,???1? ????,????,????? ???? ???? 477-1,37.57447815,126.9100494,29/06/2016,10,,LCD
165,??????,????,????? ???? ???? 470-1,37.57513809,126.9139404,29/06/2016,20,,LCD
166,??? ????,????,????? ???? ??? 530,37.57381821,126.9192352,29/06/2016,20,,LCD
167,?????? ?,????,????? ???? ???? 70-119,37.57946014,126.9171295,29/06/2016,15,,LCD
169,??? ???,????,????? ???? ???? 400,37.57300186,126.9077988,29/06/2016,15,,LCD
170,??? ??? ??? ?,????,????? ???? ???? 124,37.57311249,126.9224472,29/06/2016,10,,LCD
171,???? ?,????,??? 317-1,37.56472397,126.9672775,29/06/2016,10,,LCD
173,???? 8??? ?,????,????? ???? ???2? 138,37.56477737,126.9661484,29/06/2016,8,,LCD
175,??2??,????,????? ???? ??? 387-16,37.57806778,126.9308853,29/06/2016,20,,LCD
176,????? ???,????,????? ???? ???? 34,37.58109665,126.9240265,24/04/2017,10,,LCD
177,??? ????,????,????? ???? ????19? 20,37.57767487,126.9098053,06/07/2016,8,,LCD
178,??3? ?,????,????? ???? ???? 352-9,37.57987595,126.9063492,06/07/2016,10,,LCD
179,??? 4??? ?,????,????? ???? ???? 293-3 ,37.56912231,126.9147949,29/06/2016,14,,LCD
180,???? 7??? ??,????,????? ???? ???3? 56-1,37.55996704,126.9624634,29/06/2016,10,,LCD
181,????? ??,???,????? ??? ????? 467,37.55134201,126.9026718,06/07/2016,15,,LCD
182,??2????? ?,???,??????????????8,37.55156708,126.9028473,25/05/2021,,9,QR
183,????????? ???,???,????? ??? ??? 30,37.56516647,126.9193955,06/07/2016,15,,LCD
184,SK?????? ???,???,????? ??? ???? 119?,37.55894852,126.907753,06/07/2016,9,,LCD
185,?? ???? ?,???,????? ??? ??? 106-32,37.54254532,126.9342957,06/07/2016,15,,LCD
186,?????,???,????? ??? ????? 108-1,37.56396484,126.8982086,06/07/2016,40,,LCD
188,??? ???? ??,????,????? ???? ???37?? 51,37.58638763,126.9351273,06/07/2016,10,,LCD
191,????(????),????,????? ???? ??? 66,37.57889175,126.9107361,06/07/2016,10,,LCD
