"","rent_count","year","month","day","day_of_week","season","temperature","humudity","holiday","wind_speed","visibility","dewpoint_temp","solar_radiation","rainfall","snowfall"
"1",9539,"2017","12","01","4","Winter",-1.1,37.5,"No Holiday",1.4,20000,-17.4,0,0,0
"2",8523,"2017","12","02","5","Winter",2.7,55.5,"No Holiday",1.6,14410,-5.55,0,0,0
"3",7222,"2017","12","03","6","Winter",4.35,84.5,"No Holiday",1.6,3380,2.65,0,4,0
"4",8729,"2017","12","04","0","Winter",-0.25,43.5,"No Holiday",3.6,19130,-12.95,0,0.1,0
"5",8307,"2017","12","05","1","Winter",-3.8,34.5,"No Holiday",0,20000,-17.7,0,0,0
"6",6669,"2017","12","06","2","Winter",1.15,76.5,"No Holiday",0.55,13965,-6.3,0,1.3,86
"7",8549,"2017","12","07","3","Winter",1.4,67,"No Holiday",1.85,7305,-2.5,0,0,104
"8",8032,"2017","12","08","4","Winter",-3.5,41,"No Holiday",1.55,19385,-15.5,0,0,0
"9",7233,"2017","12","09","5","Winter",-0.3,48,"No Holiday",0.9,19490,-10.8,0,0,0
"10",3453,"2017","12","10","6","Winter",0.35,64,"No Holiday",1.1,8880,-3,0,4.1,325
"11",5848,"2017","12","11","0","Winter",-5.75,38,"No Holiday",3.7,20000,-18,0,0,0
"12",5496,"2017","12","12","1","Winter",-9.35,45,"No Holiday",2.15,19890,-20,0,0,0
"13",6019,"2017","12","13","2","Winter",-9.05,39,"No Holiday",1.65,19795,-20.35,0,0,0
"14",6398,"2017","12","14","3","Winter",-5.85,44,"No Holiday",0.9,16495,-18.1,0,0,0
"15",7198,"2017","12","15","4","Winter",-2.7,50.5,"No Holiday",0.8,9675,-12.9,0,0,0
"16",4632,"2017","12","16","5","Winter",-5.25,41,"No Holiday",2.85,19730,-18.65,0,0,0
"17",3776,"2017","12","17","6","Winter",-7.05,40,"No Holiday",1.95,20000,-19.9,0,0,0
"18",2620,"2017","12","18","0","Winter",-2.35,81,"No Holiday",0.95,4645,-4.75,0,3.4,597
"19",4334,"2017","12","19","1","Winter",-3.65,55.5,"No Holiday",2.1,18125,-12.9,0,0,556
"20",4568,"2017","12","20","2","Winter",-3.7,67,"No Holiday",1.1,16920,-12.3,0,0.2,483
"21",5734,"2017","12","21","3","Winter",-1.2,76,"No Holiday",1.25,7145,-4.95,0,0,389
"22",7184,"2017","12","22","4","Winter",3.8,68,"Holiday",0.8,7975,-3.75,0,0,77
"23",6624,"2017","12","23","5","Winter",5.65,76.5,"No Holiday",1.1,2635,2,0,0,0
"24",2014,"2017","12","24","6","Winter",4.35,83,"Holiday",1.2,2335,2.1,0,20,0
"25",3966,"2017","12","25","0","Winter",-1.75,45,"Holiday",2.55,20000,-13.85,0,0,0
"26",5605,"2017","12","26","1","Winter",-2.65,37.5,"No Holiday",3.1,19975,-18.2,0,0,0
"27",5351,"2017","12","27","2","Winter",-6.6,33.5,"No Holiday",2.1,20000,-21.55,0,0,0
"28",6594,"2017","12","28","3","Winter",-1.45,40,"No Holiday",1.3,17745,-14.55,0,0,0
"29",7663,"2017","12","29","4","Winter",1.1,64.5,"No Holiday",0.9,4945,-3.25,0,0,0
"30",4027,"2017","12","30","5","Winter",1.6,81,"No Holiday",0.85,2485,-2.9,0,0.5,0
"31",3423,"2017","12","31","6","Winter",0.15,54.5,"Holiday",2.15,10945,-7.15,0,1.2,143
"32",4290,"2018","01","01","0","Winter",-1.45,40,"Holiday",1.1,19170,-13.5,0,0,0
